# Eelst 		 Emultipole 
     -0.00195605      -0.00053642
     -0.00422572      -0.00111638
     -0.00098389       0.00000421
     -0.00059698      -0.00029275
     -0.00063476       0.00017580
     -0.00041607      -0.00023183
     -0.00024101       0.00015195
     -0.00626729      -0.00057706
     -0.00146447      -0.00034884
     -0.00179127      -0.00005955
     -0.00270614       0.00111813
     -0.00415252      -0.00012597
     -0.00021561       0.00068886
     -0.00079718      -0.00023046
     -0.00080586       0.00058640
     -0.00771677      -0.00014696
     -0.00203241      -0.00043106
     -0.00060604      -0.00007268
     -0.00805977       0.00114114
     -0.00575618      -0.00113120
     -0.01047253       0.00075871
     -0.00728614      -0.00065616
     -0.00007067       0.00018012
      0.00006128       0.00012272
     -0.00199925      -0.00064966
     -0.00075186      -0.00030807
     -0.00061014       0.00003439
      0.00022977       0.00040087
     -0.00062516      -0.00002860
     -0.00065044       0.00003523
     -0.00489649      -0.00088475
     -0.00105884       0.00110215
     -0.00693329       0.00142430
     -0.00225997       0.00058578
     -0.00150479      -0.00046270
     -0.00190363      -0.00064654
     -0.00010001       0.00005949
     -0.01371781       0.00116078
     -0.00010587      -0.00007899
     -0.00075225      -0.00012524
     -0.00421704       0.00141785
     -0.00008124      -0.00000505
      0.00003494       0.00021610
     -0.00101032      -0.00025093
     -0.00114088      -0.00017901
     -0.00091841       0.00018397
     -0.00115959      -0.00038787
      0.00005816       0.00011722
      0.00016792       0.00026289
     -0.00006068       0.00004313
     -0.00043317      -0.00021105
     -0.00201237      -0.00026592
     -0.00555752       0.00084064
     -0.00029858      -0.00014612
     -0.00012878       0.00052895
     -0.00131512       0.00077276
     -0.00008420      -0.00000144
     -0.00383381       0.00058285
     -0.00019810       0.00076078
     -0.00024368      -0.00019302
     -0.00133698      -0.00017127
      0.00017755       0.00033538
     -0.00136487       0.00008498
     -0.01073847      -0.00072815
     -0.00313452      -0.00047574
     -0.00213496      -0.00065464
     -0.00005259       0.00000956
     -0.00052430      -0.00027805
     -0.00027815      -0.00011392
     -0.00270818      -0.00061105
     -0.00231991      -0.00045081
     -0.00332711       0.00105716
     -0.00108679       0.00001735
     -0.00049138       0.00057139
     -0.00937072      -0.00015373
      0.00005317       0.00011191
     -0.00316542      -0.00076471
      0.00002621       0.00027183
     -0.00668701      -0.00068837
     -0.00104232       0.00029594
     -0.00003711       0.00006238
      0.00017443       0.00033505
     -0.00029103       0.00011571
     -0.00074733       0.00035271
     -0.00004278       0.00015514
     -0.00034073      -0.00017241
     -0.00029088       0.00050467
     -0.00137525      -0.00026961
     -0.00032811      -0.00017010
     -0.00333697       0.00032847
     -0.00004281       0.00017160
     -0.00021528      -0.00003132
     -0.00313590      -0.00087129
     -0.00056893      -0.00022734
     -0.00101619      -0.00017687
     -0.00151125      -0.00015743
     -0.00724746      -0.00103770
      0.00005821       0.00021331
      0.00013607       0.00017674
     -0.00165206      -0.00061725
     -0.00180274      -0.00065441
     -0.00125895       0.00013005
     -0.00032782       0.00022274
     -0.00155971      -0.00028158
     -0.00020288      -0.00011911
     -0.00017720      -0.00008782
     -0.00126975       0.00013639
     -0.00014536      -0.00005869
     -0.00521045       0.00002239
     -0.00026060      -0.00016422
      0.00002077       0.00010075
     -0.00082343       0.00014609
     -0.00025524      -0.00015724
     -0.00023787       0.00037439
      0.00009356       0.00014126
     -0.00390609      -0.00011319
     -0.00236845       0.00057806
     -0.00142837       0.00073472
     -0.00176794       0.00002927
     -0.00048900      -0.00017982
     -0.00009222      -0.00002803
     -0.00037590       0.00003906
     -0.00003503       0.00003832
     -0.00063314       0.00013769
     -0.00013426       0.00042691
      0.00015007       0.00025125
     -0.00048683      -0.00015181
     -0.00333557      -0.00008293
     -0.00071378      -0.00033969
     -0.00610040       0.00068255
     -0.00032109       0.00010243
     -0.00008455       0.00001833
     -0.00195062      -0.00014541
     -0.00001528       0.00002819
     -0.00015267      -0.00002279
     -0.00016879       0.00002320
     -0.00023804      -0.00019078
     -0.00031054      -0.00018850
     -0.00586543      -0.00128508
     -0.00057285      -0.00006210
      0.00021557       0.00036237
     -0.00072169       0.00016415
     -0.00078405      -0.00012152
     -0.00051333      -0.00032838
     -0.00561454       0.00023688
     -0.00026999      -0.00018974
     -0.00492114      -0.00008850
      0.00023740       0.00041006
     -0.00556088       0.00120240
     -0.00181454      -0.00031804
      0.00012299       0.00021871
      0.00006078       0.00019477
      0.00035246       0.00051923
     -0.00044278      -0.00018187
     -0.00366103       0.00147484
     -0.00432194      -0.00003091
     -0.00085936      -0.00033147
     -0.00084672      -0.00023327
     -0.00463119      -0.00082823
     -0.00035358       0.00006439
     -0.00311179       0.00000553
     -0.00043530      -0.00010955
     -0.00060899      -0.00015579
     -0.00417786      -0.00012502
     -0.00056840      -0.00021029
     -0.00033895       0.00046973
      0.00008474       0.00016585
     -0.00027055      -0.00005173
     -0.00202362       0.00062391
     -0.00003905       0.00007389
     -0.00504818      -0.00019361
     -0.00015067      -0.00002867
      0.00004841       0.00015515
     -0.00074766       0.00000263
     -0.00763497       0.00022785
     -0.00225076      -0.00064759
     -0.00043980      -0.00019685
     -0.00133333       0.00061204
     -0.00021229      -0.00010863
     -0.00080990      -0.00011556
     -0.01046485       0.00023006
     -0.00037375       0.00006269
     -0.00113419       0.00013014
     -0.00043410       0.00050814
     -0.00136026       0.00069028
     -0.00004646       0.00038734
     -0.00077859      -0.00006735
     -0.00454461      -0.00028217
     -0.00026482       0.00007927
     -0.00014748      -0.00009975
     -0.00519001       0.00069855
     -0.00128869      -0.00028351
      0.00005003       0.00013524
     -0.00538462      -0.00029235
     -0.00045642      -0.00025086
     -0.00052299      -0.00029554
     -0.00093170       0.00047024
      0.00009670       0.00016391
      0.00005019       0.00014939
     -0.00021527      -0.00006257
     -0.00018508      -0.00014783
     -0.00057025      -0.00023329
     -0.00042848       0.00007659
     -0.00527318      -0.00130194
     -0.00047179      -0.00013211
     -0.00030590      -0.00006922
      0.00001767       0.00019908
     -0.00773160      -0.00131068
     -0.00143405      -0.00026841
     -0.00009400      -0.00000321
     -0.00049476      -0.00025601
     -0.00172923      -0.00028009
     -0.00091127      -0.00024551
     -0.00011747       0.00001601
     -0.00015944       0.00003803
     -0.00184012      -0.00009949
     -0.00180316       0.00007150
     -0.00033145       0.00002087
     -0.00280026      -0.00006374
     -0.00382902      -0.00091476
     -0.00951240      -0.00010572
     -0.00467284       0.00058908
     -0.00180082       0.00007725
     -0.00113076       0.00007670
     -0.00154957      -0.00052510
     -0.00030231      -0.00002148
     -0.00551650       0.00096490
     -0.00198075       0.00057954
     -0.00142557       0.00033145
     -0.00101323      -0.00003502
     -0.00018038       0.00012558
      0.00001258       0.00008888
     -0.00113448       0.00041622
      0.00017162       0.00045143
     -0.00062845       0.00024324
     -0.00032836       0.00028932
     -0.00557993      -0.00066587
     -0.00073004      -0.00033664
     -0.00013097      -0.00002607
      0.00007241       0.00024179
     -0.00329032      -0.00047803
     -0.00239486       0.00087049
      0.00012302       0.00019321
     -0.00118583       0.00018366
     -0.00031961      -0.00011132
     -0.00265072       0.00052031
     -0.00051257       0.00043863
     -0.00038246      -0.00013236
     -0.00008141       0.00016648
      0.00008812       0.00025636
     -0.00018876      -0.00004287
     -0.00015137       0.00021710
     -0.00337009       0.00034953
     -0.00062969      -0.00017774
     -0.00011979       0.00009156
     -0.00491682       0.00069458
     -0.00053227      -0.00001151
     -0.00004122       0.00025348
     -0.00000154       0.00031308
     -0.00098739      -0.00023112
     -0.00285751       0.00067476
     -0.00026099       0.00025275
     -0.00219980      -0.00008906
     -0.00028930      -0.00007892
     -0.00307646      -0.00024288
     -0.00154219      -0.00040817
      0.00007504       0.00015087
     -0.00044678      -0.00005486
     -0.00314529       0.00147374
     -0.00494921      -0.00008368
     -0.00046275      -0.00018487
     -0.00033758       0.00003697
     -0.00935557      -0.00016526
     -0.00013954       0.00010221
     -0.00021267       0.00010609
      0.00017844       0.00044864
     -0.00005138       0.00018999
     -0.00079508      -0.00038545
     -0.00440206      -0.00098464
     -0.00240221       0.00130291
     -0.00133017      -0.00044155
     -0.00036876      -0.00019809
     -0.00064607      -0.00013585
     -0.00274070      -0.00045976
     -0.00017414      -0.00007213
     -0.00088238      -0.00024073
     -0.00014694      -0.00010314
     -0.00002213       0.00017977
      0.00008908       0.00020451
     -0.00180352      -0.00013907
     -0.00608068      -0.00045935
     -0.00617546      -0.00113470
     -0.00035468      -0.00012516
     -0.00049773      -0.00022873
     -0.00753535      -0.00015156
     -0.00008914      -0.00003859
     -0.00164516      -0.00032197
     -0.00048911      -0.00007013
      0.00012698       0.00017040
     -0.00270138       0.00147791
     -0.00188479      -0.00034819
     -0.00491234      -0.00115773
     -0.00105998       0.00015892
     -0.00011358      -0.00000623
     -0.00581785      -0.00041559
      0.00027329       0.00073586
     -0.00003997       0.00013246
     -0.00290777      -0.00002646
     -0.00023305      -0.00006933
     -0.00205612      -0.00034513
     -0.00051211      -0.00029204
     -0.00149506       0.00129917
     -0.00054730      -0.00019486
     -0.00017308       0.00000376
     -0.00165078      -0.00034087
     -0.00016015       0.00008034
     -0.00032592      -0.00013406
     -0.00018847      -0.00007990
     -0.00032207      -0.00013358
     -0.00484579      -0.00030992
     -0.00418528      -0.00008587
     -0.00010550       0.00017346
     -0.00261653       0.00065242
      0.00000588       0.00008471
     -0.00038421       0.00056272
     -0.00048376      -0.00008411
     -0.00125059       0.00015397
     -0.00078381      -0.00032184
     -0.00052449       0.00072737
     -0.00149752      -0.00023054
     -0.00204426      -0.00036892
     -0.00006068       0.00006911
     -0.00018872       0.00017449
     -0.00022577      -0.00001040
     -0.00047889      -0.00032076
     -0.00636906      -0.00133762
      0.00000885       0.00026146
     -0.00130454      -0.00058796
      0.00005922       0.00017359
     -0.00712323       0.00067720
     -0.00043977       0.00092605
     -0.00316903       0.00004739
     -0.00005049       0.00002610
     -0.00207427       0.00107883
     -0.00350443      -0.00014274
     -0.00119670       0.00078226
     -0.00069916      -0.00029360
     -0.00098161      -0.00017997
     -0.00165779       0.00003471
     -0.00210549      -0.00023991
     -0.00005900       0.00018210
     -0.00837079       0.00210965
      0.00010225       0.00015132
     -0.00206717      -0.00074199
     -0.00029937       0.00000181
     -0.00057931      -0.00024204
      0.00026634       0.00031257
     -0.00065011      -0.00003423
     -0.00099592       0.00032175
     -0.00168209       0.00000461
      0.00010802       0.00016366
     -0.00004589       0.00030323
     -0.00443876      -0.00012755
     -0.00016326      -0.00012892
     -0.00029314      -0.00016757
     -0.00011835       0.00008213
     -0.00014863       0.00055390
     -0.00014114       0.00004413
     -0.00243889      -0.00053794
     -0.00227236      -0.00028176
     -0.00041059      -0.00008737
     -0.00001884       0.00013350
     -0.00198955      -0.00016581
     -0.00510279       0.00174813
     -0.00003039       0.00005155
     -0.00012516      -0.00006696
     -0.00040508      -0.00023041
     -0.00988079      -0.00102507
      0.00004618       0.00010670
     -0.00922092       0.00236134
      0.00012269       0.00016603
     -0.00072802      -0.00006967
     -0.00044007       0.00009220
     -0.01630185      -0.00005413
     -0.00698210      -0.00066158
     -0.00155786       0.00041612
     -0.00047629      -0.00002036
